1/1993,90.4,81.3,80.7,74.2,58.1
1/1993,90.4,81.3,80.7,74.2,58.1
2/1993,90.5,82.6,81.3,74.9,62.2
3/1993,90.2,83.9,81.9,75.4,64.6
4/1993,92.5,85.4,83.7,76.8,66.2
5/1993,95.9,88.6,85.9,80.5,72.3
6/1993,98.3,94.0,91.4,86.9,76.3
7/1993,100.1,98.0,97.6,90.6,79.2
8/1993,101.0,97.9,96.1,91.1,76.8
9/1993,100.7,96.2,95.5,88.7,79.0
10/1993,97.8,94.4,95.6,90.0,83.2
11/1993,99.5,97.3,97.5,92.9,85.3
12/1993,102.2,100.2,100.3,99.0,92.4
1/1994,106.3,108.6,110.2,106.6,104.0
2/1994,109.9,112.9,113.3,111.1,108.3
3/1994,114.5,122.9,123.2,119.7,120.2
4/1994,116.9,117.7,123.8,124.3,120.5
5/1994,114.8,115.8,123.0,115.4,116.3
6/1994,114.1,116.7,122.8,119.0,112.8
7/1994,113.5,113.0,118.6,116.7,112.1
8/1994,116.7,117.4,122.7,123.5,115.6
9/1994,116.1,115.6,121.1,117.0,118.0
10/1994,116.5,116.7,118.4,119.7,115.1
11/1994,115.7,114.1,117.6,117.7,116.4
12/1994,110.2,108.9,114.5,112.2,118.4
1/1995,109.9,109.9,110.8,111.0,111.3
2/1995,113.9,112.4,109.8,102.3,99.5
3/1995,114.2,112.9,112.7,108.9,113.1
4/1995,114.7,111.2,112.0,109.1,113.6
5/1995,110.8,109.4,111.5,109.8,103.5
6/1995,110.4,106.0,108.8,108.1,108.7
7/1995,108.5,105.0,104.9,103.2,104.3
8/1995,108.0,102.4,105.4,102.1,101.3
9/1995,104.5,99.6,99.9,98.9,96.1
10/1995,103.5,99.1,98.9,96.6,96.2
11/1995,105.4,102.0,100.6,99.7,99.3
12/1995,106.3,102.7,102.9,99.2,94.0
1/1996,106.9,104.7,102.0,100.2,102.5
2/1996,109.1,108.6,107.2,106.4,104.5
3/1996,112.2,114.5,109.2,107.6,109.9
4/1996,112.1,112.4,110.9,109.6,113.4
5/1996,113.3,113.5,114.2,111.7,116.8
6/1996,114.7,114.8,117.1,114.8,116.3
7/1996,115.4,114.0,114.2,115.0,115.8
8/1996,116.8,118.5,116.4,113.9,115.6
9/1996,119.0,117.7,117.0,118.7,116.5
10/1996,122.4,123.3,124.0,125.7,124.1
11/1996,127.1,128.2,129.1,130.0,135.7
12/1996,132.5,135.2,136.5,139.2,140.2
1/1997,137.9,143.6,148.8,156.1,160.9
2/1997,151.1,154.6,160.6,163.4,164.2
3/1997,160.6,162.4,167.1,163.1,166.4
4/1997,154.5,157.8,162.1,160.6,159.5
5/1997,169.5,173.7,175.3,175.0,184.6
6/1997,171.0,171.0,177.7,176.1,179.6
7/1997,165.1,166.7,174.4,171.9,180.0
8/1997,168.8,170.5,180.2,174.2,185.0
9/1997,170.2,169.1,174.3,174.4,173.5
10/1997,171.1,172.1,178.7,178.2,198.2
11/1997,161.2,157.0,166.9,173.1,166.4
12/1997,155.4,153.4,160.0,156.1,156.3
1/1998,145.2,141.0,148.9,147.4,142.2
2/1998,138.5,134.6,136.2,138.5,135.7
3/1998,140.4,137.9,137.4,137.6,128.1
4/1998,135.5,133.4,136.3,131.3,126.6
5/1998,129.4,126.2,128.2,125.2,126.8
6/1998,114.0,111.7,110.0,111.0,118.0
7/1998,110.2,105.9,110.6,105.9,104.3
8/1998,106.3,104.3,102.1,99.1,98.5
9/1998,100.4,96.8,99.6,102.1,92.8
10/1998,96.6,95.1,95.2,94.1,96.3
11/1998,100.7,100.4,99.1,101.2,94.4
12/1998,105.0,105.0,103.5,100.2,104.5
1/1999,103.9,103.9,105.0,102.0,98.2
2/1999,103.0,101.7,102.8,98.0,97.5
3/1999,102.4,102.2,99.1,99.6,94.8
4/1999,102.7,101.8,101.4,100.5,101.7
5/1999,103.1,103.1,102.6,100.7,101.8
6/1999,103.3,101.5,101.8,103.4,102.2
7/1999,101.8,101.4,100.0,105.3,100.2
8/1999,99.3,101.3,100.5,100.8,103.2
9/1999,96.8,97.0,98.0,99.7,97.2
10/1999,95.5,95.7,96.5,97.6,99.1
11/1999,93.2,94.5,95.1,95.1,105.2
12/1999,94.9,95.8,97.1,97.3,99.0
1/2000,96.6,97.5,98.4,98.8,107.4
2/2000,96.2,98.0,98.2,99.7,102.0
3/2000,93.2,95.8,97.6,99.7,102.3
4/2000,92.4,93.8,96.8,99.2,101.2
5/2000,89.0,89.9,92.1,99.1,96.9
6/2000,84.5,85.6,89.5,91.5,95.3
7/2000,86.0,86.2,88.0,90.3,92.4
8/2000,86.0,87.1,88.1,91.2,95.7
9/2000,87.4,88.0,88.6,92.3,98.0
10/2000,86.5,86.4,88.1,91.2,98.4
11/2000,81.3,84.1,85.5,89.3,98.2
12/2000,80.2,81.6,83.7,88.5,96.5
1/2001,78.9,80.5,83.4,88.4,94.6
2/2001,78.7,80.0,83.0,85.3,91.3
3/2001,80.5,82.3,83.9,87.2,88.7
4/2001,81.9,81.4,84.6,87.5,90.0
5/2001,79.0,80.5,83.8,83.4,88.5
6/2001,78.7,81.3,85.3,82.5,88.8
7/2001,78.7,80.5,81.8,83.0,88.7
8/2001,76.7,79.1,78.8,83.8,89.9
9/2001,75.9,77.5,78.1,81.1,87.5
10/2001,72.7,74.4,75.7,78.8,80.9
11/2001,71.9,74.0,75.2,78.5,82.1
12/2001,72.3,74.1,75.5,78.4,82.5
1/2002,72.6,74.5,75.7,78.2,84.0
2/2002,73.4,73.7,74.3,78.2,86.2
3/2002,71.9,73.6,74.3,78.0,85.2
4/2002,70.4,72.7,74.3,77.9,84.9
5/2002,69.4,73.7,73.9,77.7,84.4
6/2002,69.4,72.6,74.3,77.3,83.2
7/2002,69.0,71.4,72.3,77.2,80.8
8/2002,66.9,68.1,70.6,76.4,79.2
9/2002,64.1,67.5,68.4,75.3,76.9
10/2002,64.0,64.7,68.7,75.1,77.2
11/2002,62.9,64.9,68.8,75.1,79.4
12/2002,62.7,64.9,67.0,73.1,80.5
1/2003,61.5,63.4,67.2,72.6,79.9
2/2003,61.0,63.8,66.5,70.7,75.7
3/2003,60.0,60.6,64.3,68.8,73.9
4/2003,59.4,59.8,64.1,67.7,72.6
5/2003,58.2,59.3,63.3,67.6,71.2
6/2003,57.3,59.2,62.6,66.6,71.7
7/2003,56.6,58.3,61.1,64.9,73.4
8/2003,56.8,58.5,60.8,66.2,73.7
9/2003,59.1,60.2,65.5,70.5,75.1
10/2003,61.3,62.5,68.6,73.8,80.4
11/2003,62.1,63.6,69.5,74.3,81.7
12/2003,63.2,64.4,70.0,79.1,85.6
1/2004,66.4,68.8,75.4,81.1,92.2
2/2004,69.2,72.4,81.5,86.9,96.2
3/2004,72.9,77.1,89.0,96.0,102.9
4/2004,73.4,79.2,89.3,98.1,101.7
5/2004,72.8,76.4,87.4,96.0,103.1
6/2004,69.7,73.9,83.2,92.1,106.3
7/2004,70.0,74.0,83.9,93.4,103.5
8/2004,73.1,76.4,87.8,93.3,104.1
9/2004,74.7,80.5,91.2,100.3,113.8
10/2004,77.6,83.2,95.8,106.0,117.1
11/2004,75.9,81.6,95.1,106.8,117.3
12/2004,76.4,82.6,94.1,107.9,120.8
1/2005,78.6,84.5,98.9,112.7,124.0
2/2005,81.6,89.4,102.1,110.9,127.0
3/2005,87.6,94.0,108.7,118.7,125.9
4/2005,88.5,94.5,110.2,120.7,134.8
5/2005,87.2,95.0,112.3,119.4,132.1
6/2005,85.9,91.8,108.4,121.4,131.2
7/2005,84.9,92.2,109.3,122.4,129.0
8/2005,86.3,93.9,106.5,122.1,131.3
9/2005,86.7,93.3,109.9,121.6,138.2
10/2005,85.8,90.5,107.1,121.6,135.9
11/2005,82.5,87.5,102.1,118.8,130.1
12/2005,83.7,89.5,103.6,119.4,135.6
1/2006,84.1,90.7,105.0,117.5,136.7
2/2006,84.3,90.9,106.0,117.5,138.5
3/2006,86.6,91.8,108.3,119.0,137.3
4/2006,86.6,92.9,109.8,121.9,138.8
5/2006,87.6,93.1,110.1,124.6,135.1
6/2006,86.0,91.4,107.8,119.7,140.3
7/2006,85.7,91.2,106.4,117.8,133.2
8/2006,87.3,91.5,106.8,123.1,140.8
9/2006,87.6,91.8,108.1,121.5,141.8
10/2006,87.3,91.5,108.1,123.0,135.3
11/2006,87.4,91.1,109.4,122.8,134.2
12/2006,88.4,91.6,109.8,123.2,139.2
1/2007,89.4,93.4,109.3,125.5,145.3
2/2007,91.0,94.6,111.5,127.6,144.6
3/2007,93.3,95.4,112.0,128.1,149.6
4/2007,94.1,95.8,114.1,131.2,152.5
5/2007,95.5,97.9,116.6,131.5,153.7
6/2007,96.6,98.8,117.1,135.7,156.1
7/2007,97.6,100.2,118.8,136.1,157.2
8/2007,98.9,101.0,120.1,140.3,164.9
9/2007,100.0,102.4,120.9,142.4,169.2
10/2007,103.6,104.9,125.0,146.0,177.2
11/2007,108.9,108.8,131.5,152.6,178.7
12/2007,112.8,113.2,138.7,159.1,188.5
1/2008,118.9,118.2,143.7,164.2,190.0
2/2008,121.7,120.4,146.5,165.6,192.5
3/2008,122.8,121.0,147.7,167.1,193.7
4/2008,121.3,119.5,143.3,166.2,194.2
5/2008,122.8,121.3,147.1,167.0,195.2
6/2008,123.2,121.4,147.9,169.6,197.3
7/2008,121.1,120.6,144.8,162.9,196.4
8/2008,119.4,118.7,142.9,158.1,195.1
9/2008,118.7,118.0,140.4,157.7,180.3
10/2008,112.6,110.7,127.6,145.6,166.6
11/2008,104.2,101.6,116.1,131.2,150.7
12/2008,104.0,102.0,113.8,131.6,151.5
1/2009,106.1,104.0,119.1,134.2,153.2
2/2009,106.8,104.8,118.4,136.6,157.7
3/2009,107.8,106.5,120.6,136.8,159.1
4/2009,112.7,110.0,125.4,141.1,160.7
5/2009,115.3,113.4,130.1,144.3,170.4
6/2009,119.9,117.3,135.0,151.5,175.4
7/2009,123.3,119.8,136.4,158.2,180.8
8/2009,126.4,122.3,143.4,163.3,189.3
9/2009,128.4,125.1,145.2,168.1,197.6
10/2009,130.8,126.5,147.7,168.4,194.3
11/2009,131.5,127.0,148.8,168.8,193.0
12/2009,134.2,129.4,150.6,169.2,194.2
1/2010,138.3,132.6,153.4,175.6,199.9
2/2010,141.4,134.6,155.5,175.6,205.3
3/2010,143.6,137.2,159.9,184.1,208.3
4/2010,147.2,140.3,163.5,184.6,209.5
5/2010,146.7,139.7,161.2,182.6,204.1
6/2010,148.0,140.8,162.2,183.1,208.7
7/2010,153.1,144.7,165.8,188.3,218.8
8/2010,156.9,148.1,170.6,191.2,220.5
9/2010,157.4,149.6,172.1,194.8,224.2
10/2010,163.2,152.9,174.1,196.0,225.8
11/2010,166.6,156.6,178.0,197.8,229.5
12/2010,167.0,155.1,177.7,196.2,225.7
1/2011,173.9,161.7,181.4,205.2,228.1
2/2011,181.4,168.3,189.7,207.0,230.2
3/2011,185.0,171.1,191.9,210.6,234.9
4/2011,189.3,174.5,194.0,216.7,242.4
5/2011,191.1,177.4,199.3,219.8,245.3
6/2011,193.5,179.5,200.7,220.3,257.0
7/2011,190.0,177.3,198.8,218.5,249.4
8/2011,189.8,176.4,195.1,215.4,241.0
9/2011,190.8,177.7,196.8,212.1,245.7
10/2011,189.2,174.4,194.7,214.2,243.1
11/2011,186.9,174.4,191.8,211.1,239.2
12/2011,186.5,172.9,191.6,208.8,243.8
1/2012,185.6,171.9,187.4,200.8,244.7
2/2012,191.3,174.9,190.5,205.7,244.6
3/2012,201.4,182.6,197.0,211.4,251.5
4/2012,207.9,189.1,201.5,218.8,256.6
5/2012,213.5,192.9,207.6,224.9,261.3
6/2012,215.4,194.6,209.8,230.4,262.4
7/2012,217.4,195.0,208.8,231.8,264.9
8/2012,223.1,199.6,212.7,232.4,265.7
9/2012,232.0,206.1,216.2,235.5,269.3
10/2012,239.3,211.3,221.4,239.8,270.5
11/2012,241.1,213.9,223.7,240.0,271.0
12/2012,242.8,216.0,223.8,240.0,268.4
1/2013,248.8,220.6,228.2,242.5,266.9
2/2013,257.0,228.1,234.2,250.0,270.4
3/2013,257.0,228.1,234.0,245.2,267.6
4/2013,256.6,227.4,233.4,245.8,269.2
5/2013,258.0,228.8,233.7,246.6,269.0
6/2013,261.5,231.6,232.1,242.3,267.4
7/2013,263.5,233.1,234.4,244.6,269.4
8/2013,265.0,233.9,235.4,246.3,269.0
9/2013,264.2,232.6,236.1,245.0,266.7
10/2013,264.3,232.6,233.7,244.4,265.3
11/2013,264.0,232.2,232.9,243.1,263.4
12/2013,263.9,232.0,233.7,242.9,264.3
1/2014,263.9,231.1,232.7,242.4,260.4
2/2014,263.8,230.4,231.1,239.5,259.7
3/2014,263.7,229.6,230.7,238.9,259.3
4/2014,264.9,231.3,231.1,240.1,261.1
5/2014,267.9,233.8,231.1,241.7,261.5
6/2014,271.2,236.6,233.8,245.3,263.9
7/2014,278.5,242.9,236.3,246.5,265.2
8/2014,283.6,247.8,240.7,250.6,265.2
9/2014,289.3,253.1,243.4,253.5,268.2
10/2014,294.4,256.9,246.9,257.0,269.1
11/2014,299.1,260.4,249.1,257.9,270.2
12/2014,304.0,264.6,251.6,260.0,272.9
1/2015,311.7,270.7,255.6,263.5,276.3
2/2015,318.9,277.9,261.2,268.1,279.3
3/2015,318.9,277.9,261.6,268.3,280.5
4/2015,326.1,283.8,264.4,270.7,283.4
5/2015,328.1,285.0,266.5,271.9,284.8
6/2015,331.0,287.5,269.1,274.8,288.0
7/2015,335.1,290.0,270.7,275.4,288.3
8/2015,337.1,291.1,272.1,275.7,290.1
9/2015,338.2,291.5,274.1,276.8,292.5
10/2015,334.5,288.3,270.9,264.7,286.9
11/2015,326.6,278.6,259.7,264.0,279.9
12/2015,314.0,271.8,258.5,258.8,271.1
1/2016,307.9,266.0,250.8,258.3,265.5
2/2016,299.9,261.4,249.3,257.6,264.1
3/2016,298.1,258.4,249.3,255.7,264.0
4/2016,300.8,259.9,251.1,256.7,266.3
5/2016,303.0,262.8,251.9,259.7,269.1
6/2016,303.5,263.1,252.1,260.6,269.9
7/2016,310.4,268.2,254.6,262.8,271.0
8/2016,316.8,274.1,258.2,263.0,275.2
9/2016,326.2,282.8,264.7,270.8,283.2
10/2016,335.3,290.7,272.0,275.1,288.7
11/2016,337.0,293.2,275.8,277.1,290.9
12/2016,338.4,293.8,275.3,276.1,293.2
1/2017,340.1,296.6,277.6,277.2,296.3
2/2017,344.9,300.9,280.6,279.9,298.5
3/2017,354.5,306.5,287.3,282.7,299.7
4/2017,365.5,314.6,292.0,286.9,300.6
5/2017,369.4,318.1,293.8,292.2,303.1
6/2017,370.9,321.5,296.1,295.1,303.7
7/2017,372.0,322.8,297.6,295.1,305.7
8/2017,375.5,323.3,301.2,296.4,310.1
9/2017,377.3,323.3,302.7,297.2,312.0
10/2017,379.5,327.4,306.8,299.3,310.5
11/2017,381.5,330.5,312.0,305.1,313.6
12/2017,388.9,334.8,314.5,310.2,319.3
1/2018,395.2,340.1,320.3,314.7,322.2
2/2018,402.3,346.5,322.4,315.2,324.6
3/2018,407.2,353.1,326.9,315.3,327.2
4/2018,415.1,359.9,333.1,319.1,327.3
5/2018,423.0,364.8,339.9,325.5,330.1
6/2018,431.9,372.0,346.4,331.3,333.4
7/2018,435.4,376.5,346.7,332.3,334.8
8/2018,436.8,375.5,345.8,330.8,334.2
9/2018,430.3,372.2,339.7,322.7,329.2
10/2018,418.7,361.3,331.4,315.5,319.3
11/2018,405.2,349.4,324.0,309.7,310.7
12/2018,397.8,340.7,319.5,309.4,309.2
1/2019,399.8,342.2,320.0,312.7,313.2
2/2019,407.8,346.7,326.0,317.2,314.4
3/2019,421.5,358.3,335.4,324.4,317.0
4/2019,437.5,371.4,346.1,336.7,318.8
5/2019,439.7,377.9,351.8,341.5,322.5
6/2019,436.1,375.9,344.1,337.5,318.2
7/2019,435.3,375.8,345.0,338.2,319.6
8/2019,432.3,368.2,342.2,336.4,311.1
9/2019,426.5,359.9,335.6,331.4,301.1
10/2019,421.2,358.5,331.3,328.2,294.3
11/2019,429.7,366.0,332.6,330.0,296.6
12/2019,420.3,362.3,329.6,319.9,293.3
1/2020,422.1,362.2,325.2,323.2,301.0
2/2020,413.7,357.2,320.1,315.5,305.6
3/2020,420.4,360.4,326.3,312.6,311.4
4/2020,417.5,360.3,326.1,310.5,309.6
5/2020,428.9,367.6,331.2,319.2,311.3
6/2020,429.2,368.3,332.7,326.2,317.3
7/2020,427.5,368.2,332.3,320.9,318.3
8/2020,423.9,365.6,327.2,320.6,314.3
9/2020,425.2,367.1,330.2,316.3,305.3
10/2020,423.9,365.5,329.8,311.5,300.3
11/2020,423.0,365.4,328.2,311.6,306.4
12/2020,422.6,364.1,329.1,319.5,313.7
1/2021,424.3,366.3,334.0,313.5,311.0
2/2021,427.8,368.9,336.6,323.2,320.7
3/2021,434.9,373.2,340.9,325.9,328.0
4/2021,434.6,376.0,341.8,330.6,326.0
5/2021,439.1,378.7,346.2,330.9,324.6
6/2021,435.0,381.2,347.9,332.4,323.1
7/2021,439.2,385.6,350.7,331.0,322.7
8/2021,442.4,383.7,343.9,336.0,322.3
9/2021,443.8,382.7,350.2,342.7,315.5
10/2021,440.9,381.2,346.5,342.8,317.7
11/2021,437.1,379.7,343.4,337.1,311.3
12/2021,434.9,381.3,346.0,331.7,307.6
1/2022,434.7,378.5,344.2,327.6,302.8
2/2022,424.5,371.4,339.9,317.6,300.8
3/2022,420.3,370.0,337.0,310.4,296.4